slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
greenville-sc,945301,7.0,69016,Education & health care,22.7,Manufacturing,16.9,Professional & management,11.7,Retail trade,10.4,"Arts, food & hospitality",8.6
albuquerque-nm,918567,0.9,67995,Education & health care,26.0,Professional & management,14.9,Retail trade,10.4,"Arts, food & hospitality",9.4,Public administration,7.1
bakersfield-ca,910433,3.1,67660,Education & health care,22.1,Agriculture & mining,12.9,Retail trade,10.9,"Arts, food & hospitality",8.3,Professional & management,8.1
albany-ny,902372,2.5,86072,Education & health care,26.6,Professional & management,12.0,Retail trade,9.9,Public administration,9.8,Manufacturing,8.2
knoxville-tn,919553,5.9,69734,Education & health care,22.9,Professional & management,12.3,Retail trade,12.2,Manufacturing,10.5,"Arts, food & hospitality",9.0
baton-rouge-la,871379,5.0,68910,Education & health care,24.4,Retail trade,11.0,Manufacturing,9.6,Professional & management,9.5,Construction,9.2
mcallen-tx,880921,3.7,52281,Education & health care,27.7,Retail trade,12.3,Construction,9.5,Professional & management,9.0,"Arts, food & hospitality",8.9
new-haven-ct,566803,-34.0,86266,Education & health care,33.3,Manufacturing,10.4,Professional & management,10.4,Retail trade,9.8,"Arts, food & hospitality",8.0
el-paso-tx,869606,3.3,58800,Education & health care,25.7,Retail trade,11.4,Professional & management,10.7,"Arts, food & hospitality",9.5,Construction,7.6
allentown-pa,866764,3.9,82602,Education & health care,26.3,Manufacturing,13.1,Retail trade,11.1,Professional & management,10.3,Transportation & utilities,8.0
oxnard-ca,838259,-1.2,107327,Education & health care,20.8,Professional & management,12.8,Retail trade,10.3,Manufacturing,10.2,"Arts, food & hospitality",9.2
columbia-sc,839868,2.8,66146,Education & health care,23.9,Professional & management,11.0,Retail trade,10.7,Manufacturing,9.5,"Arts, food & hospitality",8.4
north-port-fl,865031,10.1,78278,Education & health care,21.4,Professional & management,14.1,Retail trade,12.9,"Arts, food & hospitality",10.7,Construction,9.0
charleston-sc,817756,7.7,82272,Education & health care,21.1,Professional & management,14.4,Retail trade,10.7,"Arts, food & hospitality",10.0,Manufacturing,9.8
greensboro-nc,779894,2.9,63083,Education & health care,23.2,Manufacturing,15.5,Retail trade,11.3,Professional & management,9.6,"Arts, food & hospitality",8.7
stockton-ca,787416,7.5,88531,Education & health care,20.6,Retail trade,11.7,Professional & management,10.4,Manufacturing,9.8,Transportation & utilities,9.0
cape-coral-fl,792692,10.3,73099,Education & health care,20.3,Retail trade,14.2,Professional & management,13.6,Construction,12.2,"Arts, food & hospitality",11.3
boise-city-id,790640,13.9,82694,Education & health care,22.0,Professional & management,11.7,Retail trade,11.4,Construction,9.6,Manufacturing,9.3
colorado-springs-co,760782,6.8,87180,Education & health care,23.8,Professional & management,14.7,Retail trade,11.1,"Arts, food & hospitality",9.0,Construction,7.7
little-rock-ar,753605,2.6,65309,Education & health care,26.6,Retail trade,12.3,Professional & management,10.1,Manufacturing,7.4,Construction,7.2
lakeland-fl,760961,13.8,63644,Education & health care,18.8,Retail trade,13.9,"Arts, food & hospitality",13.8,Professional & management,11.2,Construction,8.5
akron-oh,699508,-0.7,71312,Education & health care,24.0,Manufacturing,14.7,Retail trade,11.6,Professional & management,10.4,"Arts, food & hospitality",9.1
des-moines-ia,720331,13.6,84209,Education & health care,21.3,"Finance, insurance & real estate",14.7,Retail trade,10.9,Professional & management,10.7,Manufacturing,9.3
springfield-ma,462853,-26.6,70535,Education & health care,31.1,Manufacturing,11.0,Retail trade,10.8,Professional & management,8.2,"Arts, food & hospitality",7.2
ogden-ut,645510,-1.1,98361,Education & health care,21.3,Manufacturing,11.7,Retail trade,11.5,Professional & management,11.3,Public administration,8.4
madison-wi,683967,5.7,86827,Education & health care,27.3,Professional & management,14.6,Manufacturing,10.2,Retail trade,9.6,"Arts, food & hospitality",7.3
winston-nc,683637,3.3,64282,Education & health care,24.3,Manufacturing,14.8,Retail trade,11.1,Professional & management,9.7,Construction,7.5
deltona-fl,689939,8.7,67599,Education & health care,21.8,Retail trade,13.2,Professional & management,13.1,"Arts, food & hospitality",10.8,Construction,8.4
syracuse-ny,657128,0.4,73558,Education & health care,31.0,Retail trade,11.2,Professional & management,10.1,Manufacturing,8.8,"Arts, food & hospitality",7.7
provo-ut,695895,15.7,96745,Education & health care,25.3,Professional & management,15.8,Retail trade,11.7,Manufacturing,9.1,Construction,7.7
toledo-oh,602977,-0.3,63749,Education & health care,24.9,Manufacturing,17.1,Retail trade,11.6,"Arts, food & hospitality",9.3,Professional & management,9.0
wichita-ks,648935,0.8,68930,Education & health care,24.2,Manufacturing,17.3,Retail trade,10.7,Professional & management,9.3,"Arts, food & hospitality",8.5
durham-nc,594291,6.4,81017,Education & health care,33.2,Professional & management,16.3,Retail trade,8.4,Manufacturing,7.9,"Arts, food & hospitality",7.8
